OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
59.19,59.1,59.65,58.58,272014775.0,4614000,2015-10-09 00:00:00,2015-10-09 23:59:59,ALRS
58.94,57.55,59.46,57.55,284126137.0,4853700,2015-10-12 00:00:00,2015-10-12 23:59:59,ALRS
57.55,59.0,59.0,57.08,288690951.0,4956000,2015-10-13 00:00:00,2015-10-13 23:59:59,ALRS
59.08,59.0,59.29,58.23,184899988.0,3142000,2015-10-14 00:00:00,2015-10-14 23:59:59,ALRS
58.4,57.96,58.61,56.86,670442219.0,11606400,2015-10-15 00:00:00,2015-10-15 23:59:59,ALRS
58.2,56.06,58.72,56.06,530815092.0,9320700,2015-10-16 00:00:00,2015-10-16 23:59:59,ALRS
56.02,56.8,57.18,56.02,331532670.0,5848500,2015-10-19 00:00:00,2015-10-19 23:59:59,ALRS
57.07,56.0,57.35,55.01,631078580.0,11313800,2015-10-20 00:00:00,2015-10-20 23:59:59,ALRS
55.6,54.92,56.12,54.36,446289158.0,8107700,2015-10-21 00:00:00,2015-10-21 23:59:59,ALRS
54.52,54.5,55.76,53.53,575038734.0,10530000,2015-10-22 00:00:00,2015-10-22 23:59:59,ALRS
54.65,55.9,55.9,54.0,469879012.0,8527000,2015-10-23 00:00:00,2015-10-23 23:59:59,ALRS
56.1,54.4,56.2,54.08,339110618.0,6173200,2015-10-26 00:00:00,2015-10-26 23:59:59,ALRS
54.67,54.44,54.67,52.81,680639983.0,12738300,2015-10-27 00:00:00,2015-10-27 23:59:59,ALRS
54.36,53.89,54.36,53.15,280634790.0,5217500,2015-10-28 00:00:00,2015-10-28 23:59:59,ALRS
53.62,52.7,53.82,52.61,320680535.0,6046000,2015-10-29 00:00:00,2015-10-29 23:59:59,ALRS
52.7,51.4,52.95,51.4,367301425.0,7033900,2015-10-30 00:00:00,2015-10-30 23:59:59,ALRS
51.03,51.38,52.19,50.3,357952170.0,6985900,2015-11-02 00:00:00,2015-11-02 23:59:59,ALRS
51.64,53.03,54.42,51.32,1034799396.0,19377000,2015-11-03 00:00:00,2015-11-03 23:59:59,ALRS
53.79,52.2,54.74,52.2,534479306.0,9946100,2015-11-05 00:00:00,2015-11-05 23:59:59,ALRS
52.46,52.22,54.1,51.25,774294923.0,14786300,2015-11-06 00:00:00,2015-11-06 23:59:59,ALRS
52.25,52.09,52.8,51.51,367893468.0,7076900,2015-11-09 00:00:00,2015-11-09 23:59:59,ALRS
52.0,51.59,52.05,50.92,322093769.0,6263800,2015-11-10 00:00:00,2015-11-10 23:59:59,ALRS
51.88,51.4,52.19,51.25,282370653.0,5464300,2015-11-11 00:00:00,2015-11-11 23:59:59,ALRS
51.3,51.2,52.5,51.01,430183625.0,8329500,2015-11-12 00:00:00,2015-11-12 23:59:59,ALRS
51.34,50.81,51.34,50.72,198074056.0,3884600,2015-11-13 00:00:00,2015-11-13 23:59:59,ALRS
50.86,51.05,51.45,50.61,350882042.0,6885100,2015-11-16 00:00:00,2015-11-16 23:59:59,ALRS
51.11,52.6,52.84,51.02,425707133.0,8184600,2015-11-17 00:00:00,2015-11-17 23:59:59,ALRS
52.7,53.01,53.73,51.85,533445749.0,10115100,2015-11-18 00:00:00,2015-11-18 23:59:59,ALRS
53.22,53.95,54.3,53.22,518105912.0,9618200,2015-11-19 00:00:00,2015-11-19 23:59:59,ALRS
54.0,53.6,54.19,53.55,264833661.0,4915900,2015-11-20 00:00:00,2015-11-20 23:59:59,ALRS
53.92,54.88,55.29,53.2,605035232.0,11117200,2015-11-23 00:00:00,2015-11-23 23:59:59,ALRS
54.98,53.2,55.32,52.21,655883397.0,12210000,2015-11-24 00:00:00,2015-11-24 23:59:59,ALRS
53.19,54.46,54.95,53.15,537502871.0,9946000,2015-11-25 00:00:00,2015-11-25 23:59:59,ALRS
54.7,54.56,55.1,54.03,263991116.0,4843300,2015-11-26 00:00:00,2015-11-26 23:59:59,ALRS
54.18,52.72,54.55,52.67,301642202.0,5656400,2015-11-27 00:00:00,2015-11-27 23:59:59,ALRS
52.8,52.18,53.0,51.02,816966154.0,15713000,2015-11-30 00:00:00,2015-11-30 23:59:59,ALRS
52.32,51.49,52.38,51.1,369436646.0,7172900,2015-12-01 00:00:00,2015-12-01 23:59:59,ALRS
51.85,51.55,52.1,51.1,249456989.0,4847900,2015-12-02 00:00:00,2015-12-02 23:59:59,ALRS
51.3,51.97,52.34,51.17,196743953.0,3786100,2015-12-03 00:00:00,2015-12-03 23:59:59,ALRS
51.91,52.13,52.5,51.0,316556150.0,6128600,2015-12-04 00:00:00,2015-12-04 23:59:59,ALRS
52.15,50.5,52.15,50.3,442538353.0,8688200,2015-12-07 00:00:00,2015-12-07 23:59:59,ALRS
50.19,48.96,50.48,48.56,512383147.0,10372200,2015-12-08 00:00:00,2015-12-08 23:59:59,ALRS
49.15,49.8,50.29,48.42,325833417.0,6574400,2015-12-09 00:00:00,2015-12-09 23:59:59,ALRS
49.5,49.55,50.17,48.83,225338163.0,4540600,2015-12-10 00:00:00,2015-12-10 23:59:59,ALRS
49.55,50.5,51.03,49.55,345808863.0,6877400,2015-12-11 00:00:00,2015-12-11 23:59:59,ALRS
50.6,53.28,53.33,50.43,990453176.0,18886400,2015-12-14 00:00:00,2015-12-14 23:59:59,ALRS
53.4,56.0,56.25,53.05,1462437406.0,26524400,2015-12-15 00:00:00,2015-12-15 23:59:59,ALRS
56.14,55.73,57.6,54.61,1119233872.0,19878100,2015-12-16 00:00:00,2015-12-16 23:59:59,ALRS
56.0,56.74,56.74,55.11,624955973.0,11117300,2015-12-17 00:00:00,2015-12-17 23:59:59,ALRS
56.69,57.6,57.7,54.9,978214012.0,17296100,2015-12-18 00:00:00,2015-12-18 23:59:59,ALRS
57.7,56.92,57.87,56.66,341847675.0,5963900,2015-12-21 00:00:00,2015-12-21 23:59:59,ALRS
57.2,56.99,57.38,55.56,370294755.0,6541100,2015-12-22 00:00:00,2015-12-22 23:59:59,ALRS
57.0,57.35,57.45,55.9,226797765.0,3967600,2015-12-23 00:00:00,2015-12-23 23:59:59,ALRS
57.4,57.02,57.75,56.8,222573129.0,3875100,2015-12-24 00:00:00,2015-12-24 23:59:59,ALRS
57.04,56.42,57.05,56.0,151333775.0,2682600,2015-12-25 00:00:00,2015-12-25 23:59:59,ALRS
56.03,54.23,56.47,53.4,759420433.0,13930200,2015-12-28 00:00:00,2015-12-28 23:59:59,ALRS
54.23,55.0,55.39,54.1,148147686.0,2700800,2015-12-29 00:00:00,2015-12-29 23:59:59,ALRS
55.05,55.94,56.85,55.05,649871591.0,11570500,2015-12-30 00:00:00,2015-12-30 23:59:59,ALRS
56.0,55.21,56.78,55.2,86377179.0,1547200,2016-01-04 00:00:00,2016-01-04 23:59:59,ALRS
55.01,57.8,57.8,54.66,283406767.0,5005100,2016-01-05 00:00:00,2016-01-05 23:59:59,ALRS
57.5,57.69,58.9,56.86,315034184.0,5420100,2016-01-06 00:00:00,2016-01-06 23:59:59,ALRS
56.9,56.11,57.28,55.63,387101234.0,6835600,2016-01-11 00:00:00,2016-01-11 23:59:59,ALRS
56.06,58.34,58.4,55.5,371492821.0,6497700,2016-01-12 00:00:00,2016-01-12 23:59:59,ALRS
58.27,57.61,59.18,57.17,425956371.0,7263900,2016-01-13 00:00:00,2016-01-13 23:59:59,ALRS
57.45,57.26,58.46,56.15,322403752.0,5659600,2016-01-14 00:00:00,2016-01-14 23:59:59,ALRS
56.82,53.9,58.04,53.62,678177727.0,12329600,2016-01-15 00:00:00,2016-01-15 23:59:59,ALRS
53.05,53.31,54.09,52.33,410488286.0,7691800,2016-01-18 00:00:00,2016-01-18 23:59:59,ALRS
53.9,54.09,55.45,53.45,482310257.0,8830100,2016-01-19 00:00:00,2016-01-19 23:59:59,ALRS
53.35,55.0,55.29,53.2,417413033.0,7688300,2016-01-20 00:00:00,2016-01-20 23:59:59,ALRS
54.54,56.72,57.3,54.54,526909758.0,9342200,2016-01-21 00:00:00,2016-01-21 23:59:59,ALRS
57.0,57.1,57.91,55.62,446700968.0,7879300,2016-01-22 00:00:00,2016-01-22 23:59:59,ALRS
57.2,56.66,57.69,55.77,289029352.0,5077600,2016-01-25 00:00:00,2016-01-25 23:59:59,ALRS
56.4,59.79,60.1,55.86,964226897.0,16540400,2016-01-26 00:00:00,2016-01-26 23:59:59,ALRS
59.9,60.6,61.29,59.06,822098305.0,13649800,2016-01-27 00:00:00,2016-01-27 23:59:59,ALRS
60.88,61.3,61.95,60.11,744869919.0,12146600,2016-01-28 00:00:00,2016-01-28 23:59:59,ALRS
61.3,61.73,61.73,59.55,677317824.0,11217300,2016-01-29 00:00:00,2016-01-29 23:59:59,ALRS
61.7,62.0,62.47,60.22,610104122.0,9891700,2016-02-01 00:00:00,2016-02-01 23:59:59,ALRS
62.27,64.81,65.98,61.93,1566151328.0,24303600,2016-02-02 00:00:00,2016-02-02 23:59:59,ALRS
64.81,65.55,65.8,63.8,813855381.0,12505200,2016-02-03 00:00:00,2016-02-03 23:59:59,ALRS
67.8,68.37,68.75,66.02,1320375698.0,19454200,2016-02-04 00:00:00,2016-02-04 23:59:59,ALRS
68.55,66.6,68.68,65.79,743180431.0,11104500,2016-02-05 00:00:00,2016-02-05 23:59:59,ALRS
66.6,64.9,67.4,64.55,622466059.0,9443600,2016-02-08 00:00:00,2016-02-08 23:59:59,ALRS
64.53,63.2,65.5,62.51,684829461.0,10756500,2016-02-09 00:00:00,2016-02-09 23:59:59,ALRS
62.67,62.3,63.9,61.6,728938720.0,11632200,2016-02-10 00:00:00,2016-02-10 23:59:59,ALRS
62.3,64.0,64.69,61.83,775805166.0,12238200,2016-02-11 00:00:00,2016-02-11 23:59:59,ALRS
64.46,67.32,67.36,63.78,1120365525.0,17050000,2016-02-12 00:00:00,2016-02-12 23:59:59,ALRS
67.77,69.19,69.44,66.56,1154547640.0,16913600,2016-02-15 00:00:00,2016-02-15 23:59:59,ALRS
69.2,70.95,70.95,68.87,1193760318.0,17057400,2016-02-16 00:00:00,2016-02-16 23:59:59,ALRS
71.0,69.0,72.52,68.8,1529252199.0,21540900,2016-02-17 00:00:00,2016-02-17 23:59:59,ALRS
68.89,68.29,70.35,67.25,1294584915.0,18903400,2016-02-18 00:00:00,2016-02-18 23:59:59,ALRS
