OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
140.6,143.81,145.32,140.6,9264073225.5,64777620,2015-10-09 00:00:00,2015-10-09 23:59:59,GAZP
143.89,141.7,144.99,140.72,4180095582.6,29331570,2015-10-12 00:00:00,2015-10-12 23:59:59,GAZP
141.0,141.8,141.8,138.81,4433147349.2,31623180,2015-10-13 00:00:00,2015-10-13 23:59:59,GAZP
141.11,142.01,143.36,140.5,3629761495.5,25524780,2015-10-14 00:00:00,2015-10-14 23:59:59,GAZP
142.39,142.61,144.16,142.21,3264557900.7,22747440,2015-10-15 00:00:00,2015-10-15 23:59:59,GAZP
143.97,141.0,144.16,140.2,4118896371.2,28994190,2015-10-16 00:00:00,2015-10-16 23:59:59,GAZP
140.77,140.27,141.52,138.62,3896662964.1,27865630,2015-10-19 00:00:00,2015-10-19 23:59:59,GAZP
140.74,140.4,140.77,138.6,4039854293.0,28930580,2015-10-20 00:00:00,2015-10-20 23:59:59,GAZP
140.36,139.49,140.64,138.2,4521347350.2,32447530,2015-10-21 00:00:00,2015-10-21 23:59:59,GAZP
139.39,139.25,140.17,138.88,3493242859.9,25033350,2015-10-22 00:00:00,2015-10-22 23:59:59,GAZP
139.71,138.94,140.19,138.5,4200926650.7,30182580,2015-10-23 00:00:00,2015-10-23 23:59:59,GAZP
139.1,138.5,139.99,136.65,4558364961.7,32928060,2015-10-26 00:00:00,2015-10-26 23:59:59,GAZP
137.39,138.5,138.5,135.66,4921635852.5,35949430,2015-10-27 00:00:00,2015-10-27 23:59:59,GAZP
138.35,138.1,138.35,135.8,4954294357.0,36173100,2015-10-28 00:00:00,2015-10-28 23:59:59,GAZP
138.25,136.11,138.3,135.52,3816468592.5,27973160,2015-10-29 00:00:00,2015-10-29 23:59:59,GAZP
136.11,135.75,136.66,135.18,3232833159.2,23791590,2015-10-30 00:00:00,2015-10-30 23:59:59,GAZP
135.49,137.8,137.8,135.12,3147749416.3,23047740,2015-11-02 00:00:00,2015-11-02 23:59:59,GAZP
137.6,141.75,142.0,137.41,5374621139.8,38388870,2015-11-03 00:00:00,2015-11-03 23:59:59,GAZP
141.9,140.97,142.94,140.48,5213235340.3,36802170,2015-11-05 00:00:00,2015-11-05 23:59:59,GAZP
140.91,137.75,142.3,137.3,4886881330.0,34931350,2015-11-06 00:00:00,2015-11-06 23:59:59,GAZP
138.1,136.5,138.34,135.7,3570758741.2,26035830,2015-11-09 00:00:00,2015-11-09 23:59:59,GAZP
136.49,135.58,136.95,135.32,3696859258.8,27182510,2015-11-10 00:00:00,2015-11-10 23:59:59,GAZP
136.0,135.0,136.65,134.6,4155416572.1,30604530,2015-11-11 00:00:00,2015-11-11 23:59:59,GAZP
135.02,136.6,138.87,134.53,6876343909.0,50100910,2015-11-12 00:00:00,2015-11-12 23:59:59,GAZP
136.44,136.0,137.36,135.7,3943874224.1,28863030,2015-11-13 00:00:00,2015-11-13 23:59:59,GAZP
136.45,137.21,139.2,135.6,4919174522.9,35805200,2015-11-16 00:00:00,2015-11-16 23:59:59,GAZP
138.27,142.75,143.5,137.82,8705684046.2,61489770,2015-11-17 00:00:00,2015-11-17 23:59:59,GAZP
142.84,147.47,147.95,141.78,7520228470.5,51723210,2015-11-18 00:00:00,2015-11-18 23:59:59,GAZP
148.14,147.5,149.98,145.17,9119826887.4,61650450,2015-11-19 00:00:00,2015-11-19 23:59:59,GAZP
