OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
2310.0,2400.1,2421.9,2310.0,8282878685.3,3491241,2015-10-09 00:00:00,2015-10-09 23:59:59,LKOH
2405.0,2340.2,2429.1,2315.7,4042871576.6,1705942,2015-10-12 00:00:00,2015-10-12 23:59:59,LKOH
2329.8,2350.0,2366.5,2320.0,2903765513.1,1239065,2015-10-13 00:00:00,2015-10-13 23:59:59,LKOH
2343.5,2341.0,2372.6,2316.0,2972169749.5,1267497,2015-10-14 00:00:00,2015-10-14 23:59:59,LKOH
2355.0,2320.0,2363.0,2320.0,2424382696.7,1034149,2015-10-15 00:00:00,2015-10-15 23:59:59,LKOH
2344.9,2303.8,2344.9,2292.7,2817690753.3,1218646,2015-10-16 00:00:00,2015-10-16 23:59:59,LKOH
2307.0,2315.0,2323.3,2287.3,1974179919.9,856408,2015-10-19 00:00:00,2015-10-19 23:59:59,LKOH
2314.9,2332.9,2336.5,2301.0,1984592803.2,854469,2015-10-20 00:00:00,2015-10-20 23:59:59,LKOH
2326.0,2310.9,2346.7,2303.1,2049669116.4,883285,2015-10-21 00:00:00,2015-10-21 23:59:59,LKOH
2311.9,2334.5,2347.3,2306.0,1849995641.7,793596,2015-10-22 00:00:00,2015-10-22 23:59:59,LKOH
2343.0,2336.7,2363.4,2318.4,3445916551.7,1471431,2015-10-23 00:00:00,2015-10-23 23:59:59,LKOH
2337.0,2298.0,2340.7,2280.4,2742757478.6,1191229,2015-10-26 00:00:00,2015-10-26 23:59:59,LKOH
2280.0,2350.6,2350.6,2254.2,3724441461.7,1622345,2015-10-27 00:00:00,2015-10-27 23:59:59,LKOH
2345.0,2357.0,2366.0,2323.3,2423857753.9,1032963,2015-10-28 00:00:00,2015-10-28 23:59:59,LKOH
2353.5,2341.5,2367.5,2325.9,2042609867.0,870026,2015-10-29 00:00:00,2015-10-29 23:59:59,LKOH
2336.0,2320.0,2365.0,2319.0,1909938953.5,816553,2015-10-30 00:00:00,2015-10-30 23:59:59,LKOH
2319.8,2412.0,2412.0,2305.1,3270776164.2,1377711,2015-11-02 00:00:00,2015-11-02 23:59:59,LKOH
2418.0,2483.9,2489.5,2404.0,4113550325.8,1676322,2015-11-03 00:00:00,2015-11-03 23:59:59,LKOH
2495.0,2489.6,2536.2,2466.3,4309474654.4,1721004,2015-11-05 00:00:00,2015-11-05 23:59:59,LKOH
2490.0,2511.8,2539.3,2476.0,3958064317.0,1573645,2015-11-06 00:00:00,2015-11-06 23:59:59,LKOH
2514.9,2530.0,2549.4,2499.2,2085980462.3,826181,2015-11-09 00:00:00,2015-11-09 23:59:59,LKOH
2534.9,2520.0,2534.9,2500.2,2187746813.1,869955,2015-11-10 00:00:00,2015-11-10 23:59:59,LKOH
2512.1,2548.0,2572.3,2502.7,2421297412.7,952891,2015-11-11 00:00:00,2015-11-11 23:59:59,LKOH
2538.0,2555.0,2569.9,2537.0,2049622559.1,803212,2015-11-12 00:00:00,2015-11-12 23:59:59,LKOH
2540.5,2485.0,2561.0,2477.2,3185921186.2,1264295,2015-11-13 00:00:00,2015-11-13 23:59:59,LKOH
2480.0,2476.0,2512.6,2474.0,2173443001.6,872459,2015-11-16 00:00:00,2015-11-16 23:59:59,LKOH
2490.0,2524.5,2541.9,2485.5,3113406010.8,1238385,2015-11-17 00:00:00,2015-11-17 23:59:59,LKOH
2530.0,2526.0,2546.3,2500.0,3113763183.8,1232323,2015-11-18 00:00:00,2015-11-18 23:59:59,LKOH
2539.9,2534.0,2568.8,2515.5,3316744047.1,1303734,2015-11-19 00:00:00,2015-11-19 23:59:59,LKOH
2525.2,2540.0,2552.0,2511.0,1775430977.4,701838,2015-11-20 00:00:00,2015-11-20 23:59:59,LKOH
2537.0,2652.8,2654.0,2515.0,4623066020.9,1774721,2015-11-23 00:00:00,2015-11-23 23:59:59,LKOH
2655.0,2576.9,2664.5,2546.9,4725958854.3,1818501,2015-11-24 00:00:00,2015-11-24 23:59:59,LKOH
2573.5,2606.9,2622.0,2571.2,2442960496.7,941355,2015-11-25 00:00:00,2015-11-25 23:59:59,LKOH
2611.7,2598.6,2625.8,2576.4,2060952152.8,791621,2015-11-26 00:00:00,2015-11-26 23:59:59,LKOH
2590.2,2539.4,2592.8,2534.4,3319242448.0,1297859,2015-11-27 00:00:00,2015-11-27 23:59:59,LKOH
2531.6,2534.1,2573.3,2506.4,2972004937.7,1166769,2015-11-30 00:00:00,2015-11-30 23:59:59,LKOH
2549.0,2559.0,2563.9,2518.0,1657676048.7,651235,2015-12-01 00:00:00,2015-12-01 23:59:59,LKOH
2559.0,2535.4,2575.0,2520.0,1549798342.3,608502,2015-12-02 00:00:00,2015-12-02 23:59:59,LKOH
2525.5,2559.0,2570.0,2525.3,1707190666.1,668360,2015-12-03 00:00:00,2015-12-03 23:59:59,LKOH
2560.0,2489.9,2579.6,2478.8,3585381527.0,1429326,2015-12-04 00:00:00,2015-12-04 23:59:59,LKOH
2490.5,2410.0,2503.0,2405.5,2776197168.3,1135320,2015-12-07 00:00:00,2015-12-07 23:59:59,LKOH
2409.8,2377.9,2424.0,2350.0,2620193446.2,1102444,2015-12-08 00:00:00,2015-12-08 23:59:59,LKOH
2384.9,2385.1,2409.5,2360.0,2222820875.0,931029,2015-12-09 00:00:00,2015-12-09 23:59:59,LKOH
