OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
11721.0,11730.0,11767.0,11583.0,2334190512.0,199479,2015-10-09 00:00:00,2015-10-09 23:59:59,MGNT
11730.0,11667.0,11835.0,11621.0,1381868234.0,117523,2015-10-12 00:00:00,2015-10-12 23:59:59,MGNT
11695.0,11780.0,11829.0,11584.0,1169428245.0,99635,2015-10-13 00:00:00,2015-10-13 23:59:59,MGNT
11770.0,11810.0,11920.0,11708.0,1598771022.0,135228,2015-10-14 00:00:00,2015-10-14 23:59:59,MGNT
11820.0,12059.0,12217.0,11820.0,1996417718.0,165620,2015-10-15 00:00:00,2015-10-15 23:59:59,MGNT
12143.0,11707.0,12169.0,11680.0,1866508789.0,157334,2015-10-16 00:00:00,2015-10-16 23:59:59,MGNT
11766.0,11665.0,11950.0,11640.0,1280477495.0,108458,2015-10-19 00:00:00,2015-10-19 23:59:59,MGNT
11665.0,11810.0,11816.0,11611.0,1094495892.0,93275,2015-10-20 00:00:00,2015-10-20 23:59:59,MGNT
11800.0,11800.0,11850.0,11734.0,1471572527.0,124632,2015-10-21 00:00:00,2015-10-21 23:59:59,MGNT
11775.0,11772.0,11880.0,11737.0,1020256552.0,86490,2015-10-22 00:00:00,2015-10-22 23:59:59,MGNT
11820.0,11500.0,11999.0,11464.0,2148263827.0,184459,2015-10-23 00:00:00,2015-10-23 23:59:59,MGNT
11501.0,10809.0,11547.0,10805.0,2596968138.0,233127,2015-10-26 00:00:00,2015-10-26 23:59:59,MGNT
10850.0,11359.0,11370.0,10563.0,2962972149.0,267308,2015-10-27 00:00:00,2015-10-27 23:59:59,MGNT
11375.0,11491.0,11499.0,11175.0,2490794572.0,219402,2015-10-28 00:00:00,2015-10-28 23:59:59,MGNT
11491.0,11216.0,11499.0,11111.0,1617795144.0,143813,2015-10-29 00:00:00,2015-10-29 23:59:59,MGNT
11216.0,11136.0,11300.0,11011.0,947016368.0,84640,2015-10-30 00:00:00,2015-10-30 23:59:59,MGNT
11117.0,11111.0,11355.0,11023.0,934084320.0,83502,2015-11-02 00:00:00,2015-11-02 23:59:59,MGNT
11142.0,11425.0,11499.0,11117.0,1477922588.0,130082,2015-11-03 00:00:00,2015-11-03 23:59:59,MGNT
11499.0,11468.0,11711.0,11399.0,1693259092.0,146064,2015-11-05 00:00:00,2015-11-05 23:59:59,MGNT
11499.0,11496.0,11529.0,11350.0,1411656859.0,123561,2015-11-06 00:00:00,2015-11-06 23:59:59,MGNT
11498.0,11520.0,11537.0,11440.0,582203422.0,50622,2015-11-09 00:00:00,2015-11-09 23:59:59,MGNT
11543.0,11393.0,11543.0,11361.0,893992224.0,78229,2015-11-10 00:00:00,2015-11-10 23:59:59,MGNT
11445.0,11255.0,11495.0,11250.0,998767929.0,87824,2015-11-11 00:00:00,2015-11-11 23:59:59,MGNT
11279.0,11125.0,11300.0,11125.0,1372934311.0,122445,2015-11-12 00:00:00,2015-11-12 23:59:59,MGNT
11125.0,11192.0,11283.0,10967.0,2268746944.0,203554,2015-11-13 00:00:00,2015-11-13 23:59:59,MGNT
11214.0,11290.0,11350.0,11150.0,1290538105.0,114477,2015-11-16 00:00:00,2015-11-16 23:59:59,MGNT
11362.0,11390.0,11485.0,11283.0,1887347205.0,165432,2015-11-17 00:00:00,2015-11-17 23:59:59,MGNT
11445.0,11359.0,11549.0,11270.0,1470329237.0,128542,2015-11-18 00:00:00,2015-11-18 23:59:59,MGNT
11400.0,11427.0,11580.0,11310.0,2388113945.0,208306,2015-11-19 00:00:00,2015-11-19 23:59:59,MGNT
11425.0,11819.0,11901.0,11344.0,2569493214.0,220780,2015-11-20 00:00:00,2015-11-20 23:59:59,MGNT
11888.0,12250.0,12325.0,11750.0,3314952987.0,273296,2015-11-23 00:00:00,2015-11-23 23:59:59,MGNT
12325.0,11900.0,12325.0,11864.0,3098191071.0,256409,2015-11-24 00:00:00,2015-11-24 23:59:59,MGNT
12039.0,12022.0,12200.0,11900.0,1901047974.0,157002,2015-11-25 00:00:00,2015-11-25 23:59:59,MGNT
12056.0,12130.0,12250.0,12031.0,1181045710.0,97200,2015-11-26 00:00:00,2015-11-26 23:59:59,MGNT
12148.0,12013.0,12180.0,11955.0,1696131789.0,140448,2015-11-27 00:00:00,2015-11-27 23:59:59,MGNT
12025.0,12005.0,12147.0,11863.0,1681985147.0,139989,2015-11-30 00:00:00,2015-11-30 23:59:59,MGNT
12027.0,11901.0,12100.0,11897.0,1063088527.0,88649,2015-12-01 00:00:00,2015-12-01 23:59:59,MGNT
11949.0,12199.0,12199.0,11926.0,1741937326.0,144014,2015-12-02 00:00:00,2015-12-02 23:59:59,MGNT
12171.0,12270.0,12307.0,12077.0,2104705894.0,172485,2015-12-03 00:00:00,2015-12-03 23:59:59,MGNT
12310.0,11799.0,12371.0,11649.0,2419624396.0,203626,2015-12-04 00:00:00,2015-12-04 23:59:59,MGNT
11800.0,11728.0,11875.0,11654.0,1036935103.0,88355,2015-12-07 00:00:00,2015-12-07 23:59:59,MGNT
11703.0,11590.0,11736.0,11501.0,2322586598.0,200978,2015-12-08 00:00:00,2015-12-08 23:59:59,MGNT
11600.0,11180.0,11603.0,11100.0,3134975553.0,275891,2015-12-09 00:00:00,2015-12-09 23:59:59,MGNT
11225.0,11141.0,11230.0,11040.0,1778937305.0,159934,2015-12-10 00:00:00,2015-12-10 23:59:59,MGNT
11102.0,11039.0,11189.0,10936.0,1761398777.0,159133,2015-12-11 00:00:00,2015-12-11 23:59:59,MGNT
11049.0,11030.0,11125.0,10927.0,1626189253.0,147507,2015-12-14 00:00:00,2015-12-14 23:59:59,MGNT
11050.0,11340.0,11394.0,11020.0,1868881109.0,165277,2015-12-15 00:00:00,2015-12-15 23:59:59,MGNT
11350.0,11361.0,11447.0,11308.0,833196572.0,73213,2015-12-16 00:00:00,2015-12-16 23:59:59,MGNT
11400.0,11211.0,11446.0,11210.0,1593882021.0,140645,2015-12-17 00:00:00,2015-12-17 23:59:59,MGNT
11197.0,10656.0,11197.0,10555.0,3304129584.0,307345,2015-12-18 00:00:00,2015-12-18 23:59:59,MGNT
10659.0,10790.0,10849.0,10576.0,1265975044.0,117563,2015-12-21 00:00:00,2015-12-21 23:59:59,MGNT
10800.0,10780.0,10849.0,10758.0,675580430.0,62600,2015-12-22 00:00:00,2015-12-22 23:59:59,MGNT
10790.0,10850.0,10928.0,10772.0,1098396397.0,101288,2015-12-23 00:00:00,2015-12-23 23:59:59,MGNT
10856.0,10761.0,10877.0,10657.0,430933209.0,39900,2015-12-24 00:00:00,2015-12-24 23:59:59,MGNT
