OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
83.5,85.4,86.45,82.5,881925917.0,10381750,2015-10-09 00:00:00,2015-10-09 23:59:59,MOEX
85.4,88.2,88.2,85.21,578458008.8,6676000,2015-10-12 00:00:00,2015-10-12 23:59:59,MOEX
87.98,86.95,88.71,85.98,564259647.7,6496880,2015-10-13 00:00:00,2015-10-13 23:59:59,MOEX
86.5,85.7,88.16,84.04,932442967.5,10920850,2015-10-14 00:00:00,2015-10-14 23:59:59,MOEX
85.01,83.54,86.62,83.5,583563044.7,6903650,2015-10-15 00:00:00,2015-10-15 23:59:59,MOEX
83.98,85.9,85.98,83.7,694315613.0,8179060,2015-10-16 00:00:00,2015-10-16 23:59:59,MOEX
85.72,86.3,86.62,84.55,344903300.4,4029190,2015-10-19 00:00:00,2015-10-19 23:59:59,MOEX
86.3,86.25,86.4,84.13,379102944.0,4448170,2015-10-20 00:00:00,2015-10-20 23:59:59,MOEX
86.0,85.99,86.0,84.7,172707848.0,2018690,2015-10-21 00:00:00,2015-10-21 23:59:59,MOEX
85.95,88.29,89.5,85.34,557339495.0,6357340,2015-10-22 00:00:00,2015-10-22 23:59:59,MOEX
88.49,92.0,92.8,87.65,1176623672.6,12943130,2015-10-23 00:00:00,2015-10-23 23:59:59,MOEX
92.0,95.1,95.68,90.3,949035418.6,10123410,2015-10-26 00:00:00,2015-10-26 23:59:59,MOEX
94.25,92.05,95.45,89.84,978549283.3,10679620,2015-10-27 00:00:00,2015-10-27 23:59:59,MOEX
91.97,91.7,92.4,90.2,388101555.3,4243450,2015-10-28 00:00:00,2015-10-28 23:59:59,MOEX
91.7,91.31,91.87,90.5,234007340.9,2570280,2015-10-29 00:00:00,2015-10-29 23:59:59,MOEX
91.29,89.84,92.12,89.84,274410340.9,3011040,2015-10-30 00:00:00,2015-10-30 23:59:59,MOEX
90.0,91.99,92.3,90.0,398241996.0,4346280,2015-11-02 00:00:00,2015-11-02 23:59:59,MOEX
91.97,91.5,93.57,91.2,705485369.8,7649470,2015-11-03 00:00:00,2015-11-03 23:59:59,MOEX
92.48,91.3,93.44,90.03,576088360.5,6261410,2015-11-05 00:00:00,2015-11-05 23:59:59,MOEX
90.95,90.81,92.17,90.3,424255175.3,4655690,2015-11-06 00:00:00,2015-11-06 23:59:59,MOEX
90.12,90.19,91.5,89.09,437729460.2,4845200,2015-11-09 00:00:00,2015-11-09 23:59:59,MOEX
89.88,90.5,91.5,89.23,661323234.6,7298130,2015-11-10 00:00:00,2015-11-10 23:59:59,MOEX
90.02,91.0,92.4,89.42,615182782.0,6778140,2015-11-11 00:00:00,2015-11-11 23:59:59,MOEX
91.0,87.28,91.6,86.84,953796295.9,10768290,2015-11-12 00:00:00,2015-11-12 23:59:59,MOEX
87.02,87.24,88.5,85.76,667368907.7,7639990,2015-11-13 00:00:00,2015-11-13 23:59:59,MOEX
86.98,91.0,91.18,86.78,864033270.3,9613440,2015-11-16 00:00:00,2015-11-16 23:59:59,MOEX
91.09,94.4,95.78,91.09,1436846871.6,15236970,2015-11-17 00:00:00,2015-11-17 23:59:59,MOEX
93.9,93.5,95.21,93.14,463539612.5,4929070,2015-11-18 00:00:00,2015-11-18 23:59:59,MOEX
93.94,93.09,95.68,92.18,664576747.1,7069660,2015-11-19 00:00:00,2015-11-19 23:59:59,MOEX
93.05,92.89,93.05,91.1,753199437.8,8195040,2015-11-20 00:00:00,2015-11-20 23:59:59,MOEX
93.0,94.01,94.5,92.14,382978193.6,4082770,2015-11-23 00:00:00,2015-11-23 23:59:59,MOEX
94.15,93.94,94.47,91.1,633334437.9,6836450,2015-11-24 00:00:00,2015-11-24 23:59:59,MOEX
93.87,94.05,95.3,93.31,338022566.6,3582430,2015-11-25 00:00:00,2015-11-25 23:59:59,MOEX
94.39,94.8,95.4,94.0,229663032.8,2426300,2015-11-26 00:00:00,2015-11-26 23:59:59,MOEX
94.6,97.0,102.23,92.46,868015336.4,9102780,2015-11-27 00:00:00,2015-11-27 23:59:59,MOEX
96.8,94.5,98.67,93.7,904529004.4,9493880,2015-11-30 00:00:00,2015-11-30 23:59:59,MOEX
94.51,96.0,97.15,93.8,731776756.9,7696330,2015-12-01 00:00:00,2015-12-01 23:59:59,MOEX
95.41,94.69,95.8,94.39,492605295.9,5199210,2015-12-02 00:00:00,2015-12-02 23:59:59,MOEX
94.35,94.02,94.99,93.64,202732483.8,2151680,2015-12-03 00:00:00,2015-12-03 23:59:59,MOEX
94.35,93.8,94.58,92.0,465493166.4,4996260,2015-12-04 00:00:00,2015-12-04 23:59:59,MOEX
93.51,93.59,94.45,92.76,320757795.4,3425090,2015-12-07 00:00:00,2015-12-07 23:59:59,MOEX
93.24,90.25,93.71,89.25,527820458.6,5765290,2015-12-08 00:00:00,2015-12-08 23:59:59,MOEX
90.75,88.3,92.12,87.67,561918186.5,6260400,2015-12-09 00:00:00,2015-12-09 23:59:59,MOEX
88.4,89.27,90.04,88.25,628169478.7,7062230,2015-12-10 00:00:00,2015-12-10 23:59:59,MOEX
89.37,90.7,90.7,86.95,644716180.2,7227960,2015-12-11 00:00:00,2015-12-11 23:59:59,MOEX
90.22,88.8,90.8,88.72,398205093.8,4429180,2015-12-14 00:00:00,2015-12-14 23:59:59,MOEX
89.3,94.9,95.28,89.17,860573572.4,9290620,2015-12-15 00:00:00,2015-12-15 23:59:59,MOEX
94.9,92.3,96.83,92.3,794820080.1,8444460,2015-12-16 00:00:00,2015-12-16 23:59:59,MOEX
92.76,94.21,95.5,92.56,562959569.2,5938130,2015-12-17 00:00:00,2015-12-17 23:59:59,MOEX
94.0,94.82,94.83,92.0,356469548.7,3825540,2015-12-18 00:00:00,2015-12-18 23:59:59,MOEX
94.5,96.0,96.47,93.9,425503209.6,4445450,2015-12-21 00:00:00,2015-12-21 23:59:59,MOEX
96.22,95.75,96.69,94.41,732040989.3,7659670,2015-12-22 00:00:00,2015-12-22 23:59:59,MOEX
95.98,96.5,96.72,95.02,368628108.3,3829810,2015-12-23 00:00:00,2015-12-23 23:59:59,MOEX
96.6,95.57,96.88,95.05,243072459.1,2536270,2015-12-24 00:00:00,2015-12-24 23:59:59,MOEX
95.56,94.72,96.09,94.5,226725465.6,2382070,2015-12-25 00:00:00,2015-12-25 23:59:59,MOEX
94.79,93.55,95.13,93.55,192389579.7,2036140,2015-12-28 00:00:00,2015-12-28 23:59:59,MOEX
93.69,93.62,94.93,92.55,234216563.5,2496940,2015-12-29 00:00:00,2015-12-29 23:59:59,MOEX
93.65,91.4,94.26,91.4,358831648.9,3871470,2015-12-30 00:00:00,2015-12-30 23:59:59,MOEX
91.32,91.85,91.85,90.12,294320052.1,3233930,2016-01-04 00:00:00,2016-01-04 23:59:59,MOEX
91.83,94.3,94.47,91.81,461712731.2,4923280,2016-01-05 00:00:00,2016-01-05 23:59:59,MOEX
94.34,94.44,94.87,93.88,232588958.2,2463000,2016-01-06 00:00:00,2016-01-06 23:59:59,MOEX
92.25,94.5,95.84,91.0,588739750.8,6253800,2016-01-11 00:00:00,2016-01-11 23:59:59,MOEX
94.4,93.75,97.0,93.13,452134155.1,4788150,2016-01-12 00:00:00,2016-01-12 23:59:59,MOEX
93.89,91.6,94.7,91.5,587701216.5,6294470,2016-01-13 00:00:00,2016-01-13 23:59:59,MOEX
91.87,91.65,92.82,90.26,847249565.5,9268930,2016-01-14 00:00:00,2016-01-14 23:59:59,MOEX
91.65,86.59,91.97,86.59,996795364.6,11268680,2016-01-15 00:00:00,2016-01-15 23:59:59,MOEX
85.9,90.15,90.73,85.2,895988110.0,10141720,2016-01-18 00:00:00,2016-01-18 23:59:59,MOEX
92.11,90.45,92.3,88.75,602321152.0,6618880,2016-01-19 00:00:00,2016-01-19 23:59:59,MOEX
89.58,90.21,92.07,88.0,986388462.6,10939690,2016-01-20 00:00:00,2016-01-20 23:59:59,MOEX
90.67,90.0,91.86,89.05,1081422742.7,11980640,2016-01-21 00:00:00,2016-01-21 23:59:59,MOEX
91.12,90.28,91.45,88.5,1059268519.0,11764480,2016-01-22 00:00:00,2016-01-22 23:59:59,MOEX
90.77,90.0,90.85,89.51,362646467.8,4015330,2016-01-25 00:00:00,2016-01-25 23:59:59,MOEX
89.9,90.0,90.5,89.32,492840668.1,5473650,2016-01-26 00:00:00,2016-01-26 23:59:59,MOEX
90.27,93.65,93.9,89.63,709686158.4,7702190,2016-01-27 00:00:00,2016-01-27 23:59:59,MOEX
93.4,92.7,95.15,91.27,837873362.4,8984870,2016-01-28 00:00:00,2016-01-28 23:59:59,MOEX
93.0,95.99,96.0,92.53,1010226638.1,10697250,2016-01-29 00:00:00,2016-01-29 23:59:59,MOEX
95.25,96.5,96.67,94.12,596434337.9,6225230,2016-02-01 00:00:00,2016-02-01 23:59:59,MOEX
96.15,96.2,96.68,94.93,523055394.5,5459940,2016-02-02 00:00:00,2016-02-02 23:59:59,MOEX
95.8,99.6,100.7,95.21,733453759.4,7427850,2016-02-03 00:00:00,2016-02-03 23:59:59,MOEX
95.0,92.3,95.99,92.2,4647484889.9,49644200,2016-02-04 00:00:00,2016-02-04 23:59:59,MOEX
93.19,93.03,95.0,92.52,1229922758.1,13103820,2016-02-05 00:00:00,2016-02-05 23:59:59,MOEX
93.39,91.14,94.0,90.6,756801132.1,8197080,2016-02-08 00:00:00,2016-02-08 23:59:59,MOEX
91.25,91.09,91.95,90.12,661268077.4,7257550,2016-02-09 00:00:00,2016-02-09 23:59:59,MOEX
90.8,90.95,91.5,90.08,687400548.6,7570840,2016-02-10 00:00:00,2016-02-10 23:59:59,MOEX
91.0,89.0,91.16,87.79,1012660048.6,11399700,2016-02-11 00:00:00,2016-02-11 23:59:59,MOEX
89.81,89.58,90.29,88.2,1166097725.8,13073130,2016-02-12 00:00:00,2016-02-12 23:59:59,MOEX
90.3,90.4,90.76,88.75,951316425.8,10593720,2016-02-15 00:00:00,2016-02-15 23:59:59,MOEX
90.75,91.0,91.77,90.44,763243282.5,8382390,2016-02-16 00:00:00,2016-02-16 23:59:59,MOEX
91.05,91.0,91.6,90.09,550567459.5,6054100,2016-02-17 00:00:00,2016-02-17 23:59:59,MOEX
91.3,92.47,92.89,91.25,742443244.7,8046750,2016-02-18 00:00:00,2016-02-18 23:59:59,MOEX
92.11,89.95,92.11,89.01,544905178.2,6003420,2016-02-19 00:00:00,2016-02-19 23:59:59,MOEX
90.2,90.48,90.73,90.02,125356368.1,1386270,2016-02-20 00:00:00,2016-02-20 23:59:59,MOEX
90.6,92.09,92.32,90.57,486277461.9,5295220,2016-02-22 00:00:00,2016-02-22 23:59:59,MOEX
91.4,93.2,93.3,91.03,987823805.2,10649620,2016-02-24 00:00:00,2016-02-24 23:59:59,MOEX
93.26,95.09,95.1,93.25,1006595149.8,10637020,2016-02-25 00:00:00,2016-02-25 23:59:59,MOEX
95.16,96.81,97.43,94.9,1793556062.7,18613220,2016-02-26 00:00:00,2016-02-26 23:59:59,MOEX
96.08,99.0,99.0,95.71,877565210.8,8978330,2016-02-29 00:00:00,2016-02-29 23:59:59,MOEX
99.0,97.8,99.32,97.17,706967420.6,7203400,2016-03-01 00:00:00,2016-03-01 23:59:59,MOEX
98.25,97.6,98.7,97.6,531846208.1,5425810,2016-03-02 00:00:00,2016-03-02 23:59:59,MOEX
98.5,97.7,99.25,96.65,862366030.7,8820280,2016-03-03 00:00:00,2016-03-03 23:59:59,MOEX
98.6,99.0,99.43,97.3,1198201858.2,12210110,2016-03-04 00:00:00,2016-03-04 23:59:59,MOEX
99.41,100.5,100.9,98.3,1064322367.9,10635360,2016-03-07 00:00:00,2016-03-07 23:59:59,MOEX
100.0,99.9,100.78,98.95,592856170.5,5938130,2016-03-09 00:00:00,2016-03-09 23:59:59,MOEX
99.76,101.92,102.5,99.76,901433795.4,8893410,2016-03-10 00:00:00,2016-03-10 23:59:59,MOEX
102.38,101.4,103.85,101.16,790511074.9,7683610,2016-03-11 00:00:00,2016-03-11 23:59:59,MOEX
101.02,103.85,104.48,100.6,1200732438.0,11641910,2016-03-14 00:00:00,2016-03-14 23:59:59,MOEX
103.95,103.7,105.3,102.7,1943342589.4,18696290,2016-03-15 00:00:00,2016-03-15 23:59:59,MOEX
