OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
608.0,606.0,608.5,595.4,748385607.0,1243540,2015-10-09 00:00:00,2015-10-09 23:59:59,NVTK
609.0,599.4,609.0,591.2,650711607.0,1089890,2015-10-12 00:00:00,2015-10-12 23:59:59,NVTK
596.5,600.9,604.0,589.7,331975590.0,555880,2015-10-13 00:00:00,2015-10-13 23:59:59,NVTK
597.8,601.1,605.3,593.0,413796535.0,689420,2015-10-14 00:00:00,2015-10-14 23:59:59,NVTK
602.5,604.9,607.8,601.7,680834479.0,1124090,2015-10-15 00:00:00,2015-10-15 23:59:59,NVTK
606.0,599.4,607.1,594.0,491390247.0,817220,2015-10-16 00:00:00,2015-10-16 23:59:59,NVTK
597.2,598.8,599.0,589.6,435488801.0,732910,2015-10-19 00:00:00,2015-10-19 23:59:59,NVTK
599.0,589.5,600.8,583.4,549574994.0,934790,2015-10-20 00:00:00,2015-10-20 23:59:59,NVTK
590.0,594.1,594.1,582.6,518290978.0,880420,2015-10-21 00:00:00,2015-10-21 23:59:59,NVTK
593.8,596.6,599.7,590.8,292939314.0,492720,2015-10-22 00:00:00,2015-10-22 23:59:59,NVTK
598.8,601.1,609.0,596.9,473505133.0,784880,2015-10-23 00:00:00,2015-10-23 23:59:59,NVTK
603.3,599.7,607.0,591.6,637790296.0,1066950,2015-10-26 00:00:00,2015-10-26 23:59:59,NVTK
598.5,613.9,614.9,590.4,325772710.0,541690,2015-10-27 00:00:00,2015-10-27 23:59:59,NVTK
614.0,601.3,617.0,598.4,555272681.0,916460,2015-10-28 00:00:00,2015-10-28 23:59:59,NVTK
601.4,586.5,602.9,584.6,562212484.0,951000,2015-10-29 00:00:00,2015-10-29 23:59:59,NVTK
585.6,584.3,589.5,579.6,352629847.0,603400,2015-10-30 00:00:00,2015-10-30 23:59:59,NVTK
581.7,587.7,588.8,574.1,484912191.0,830700,2015-11-02 00:00:00,2015-11-02 23:59:59,NVTK
588.0,591.1,598.4,587.5,513877030.0,866940,2015-11-03 00:00:00,2015-11-03 23:59:59,NVTK
596.8,598.0,606.4,594.0,441716106.0,735990,2015-11-05 00:00:00,2015-11-05 23:59:59,NVTK
597.1,598.1,605.8,594.4,468373379.0,778550,2015-11-06 00:00:00,2015-11-06 23:59:59,NVTK
598.1,606.1,614.9,597.9,498879858.0,819320,2015-11-09 00:00:00,2015-11-09 23:59:59,NVTK
607.0,616.0,618.4,596.6,524582001.0,862290,2015-11-10 00:00:00,2015-11-10 23:59:59,NVTK
616.5,596.1,616.7,593.3,470181568.0,777940,2015-11-11 00:00:00,2015-11-11 23:59:59,NVTK
593.3,591.0,604.0,588.6,415605772.0,698860,2015-11-12 00:00:00,2015-11-12 23:59:59,NVTK
591.9,593.2,596.7,585.0,601732560.0,1018590,2015-11-13 00:00:00,2015-11-13 23:59:59,NVTK
594.9,606.1,611.5,592.0,520308303.0,860190,2015-11-16 00:00:00,2015-11-16 23:59:59,NVTK
610.3,624.5,628.3,609.0,991775356.0,1600000,2015-11-17 00:00:00,2015-11-17 23:59:59,NVTK
628.7,631.2,638.7,622.0,572516904.0,905530,2015-11-18 00:00:00,2015-11-18 23:59:59,NVTK
636.0,620.2,639.8,620.0,770552938.0,1219280,2015-11-19 00:00:00,2015-11-19 23:59:59,NVTK
622.0,627.3,628.9,607.0,602089903.0,973150,2015-11-20 00:00:00,2015-11-20 23:59:59,NVTK
628.5,635.0,641.1,617.4,533431713.0,843020,2015-11-23 00:00:00,2015-11-23 23:59:59,NVTK
636.0,612.1,636.0,607.0,1031658925.0,1671510,2015-11-24 00:00:00,2015-11-24 23:59:59,NVTK
615.5,629.5,631.6,615.5,633587393.0,1012590,2015-11-25 00:00:00,2015-11-25 23:59:59,NVTK
629.7,627.2,637.6,622.1,436627302.0,694320,2015-11-26 00:00:00,2015-11-26 23:59:59,NVTK
629.0,626.4,630.6,620.4,724758866.0,1157280,2015-11-27 00:00:00,2015-11-27 23:59:59,NVTK
622.0,621.0,630.0,615.8,621030682.0,999010,2015-11-30 00:00:00,2015-11-30 23:59:59,NVTK
623.8,607.6,628.6,605.1,468888154.0,767010,2015-12-01 00:00:00,2015-12-01 23:59:59,NVTK
608.0,601.0,622.8,597.6,383786013.0,630240,2015-12-02 00:00:00,2015-12-02 23:59:59,NVTK
597.0,608.2,612.5,594.8,468568496.0,776010,2015-12-03 00:00:00,2015-12-03 23:59:59,NVTK
607.0,584.3,613.7,573.4,995062078.0,1686630,2015-12-04 00:00:00,2015-12-04 23:59:59,NVTK
587.0,580.8,593.2,573.4,714837694.0,1227980,2015-12-07 00:00:00,2015-12-07 23:59:59,NVTK
581.0,570.0,584.7,570.0,744515864.0,1295400,2015-12-08 00:00:00,2015-12-08 23:59:59,NVTK
574.0,589.1,593.5,572.0,824794888.0,1413500,2015-12-09 00:00:00,2015-12-09 23:59:59,NVTK
590.0,582.2,599.5,580.1,784501510.0,1328790,2015-12-10 00:00:00,2015-12-10 23:59:59,NVTK
582.0,580.9,582.8,574.0,418000919.0,723470,2015-12-11 00:00:00,2015-12-11 23:59:59,NVTK
574.3,570.0,583.6,565.5,787514358.0,1372000,2015-12-14 00:00:00,2015-12-14 23:59:59,NVTK
571.0,585.0,592.2,568.0,814202056.0,1403120,2015-12-15 00:00:00,2015-12-15 23:59:59,NVTK
587.0,588.0,594.5,584.9,428935094.0,727340,2015-12-16 00:00:00,2015-12-16 23:59:59,NVTK
