OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
254.5,267.0,268.0,253.0,2773046803.0,10567470,2015-10-09 00:00:00,2015-10-09 23:59:59,ROSN
266.2,263.0,270.25,259.6,1790288874.0,6745390,2015-10-12 00:00:00,2015-10-12 23:59:59,ROSN
260.5,262.5,262.6,257.55,982423915.0,3771760,2015-10-13 00:00:00,2015-10-13 23:59:59,ROSN
260.9,260.85,263.55,259.05,798584314.5,3059160,2015-10-14 00:00:00,2015-10-14 23:59:59,ROSN
261.35,258.4,265.45,257.85,1269517917.5,4864000,2015-10-15 00:00:00,2015-10-15 23:59:59,ROSN
260.65,253.4,261.85,252.05,1816142807.5,7123220,2015-10-16 00:00:00,2015-10-16 23:59:59,ROSN
253.0,251.5,253.45,247.05,1133827426.5,4538870,2015-10-19 00:00:00,2015-10-19 23:59:59,ROSN
251.6,250.75,252.0,245.5,1154088704.5,4634800,2015-10-20 00:00:00,2015-10-20 23:59:59,ROSN
251.45,251.8,253.45,248.9,1019118671.0,4057880,2015-10-21 00:00:00,2015-10-21 23:59:59,ROSN
252.05,253.4,255.2,250.15,760086029.0,3000370,2015-10-22 00:00:00,2015-10-22 23:59:59,ROSN
254.85,253.5,257.5,251.6,1185854288.0,4663530,2015-10-23 00:00:00,2015-10-23 23:59:59,ROSN
253.5,250.5,253.75,249.2,868719246.0,3457810,2015-10-26 00:00:00,2015-10-26 23:59:59,ROSN
250.1,251.5,251.5,245.0,1282888481.5,5190890,2015-10-27 00:00:00,2015-10-27 23:59:59,ROSN
251.5,253.8,254.15,249.2,887043627.0,3529900,2015-10-28 00:00:00,2015-10-28 23:59:59,ROSN
254.25,255.45,256.45,253.25,1391194620.5,5463530,2015-10-29 00:00:00,2015-10-29 23:59:59,ROSN
254.9,258.1,260.0,252.65,1007566160.0,3918570,2015-10-30 00:00:00,2015-10-30 23:59:59,ROSN
258.0,262.2,262.25,257.0,610802446.0,2347820,2015-11-02 00:00:00,2015-11-02 23:59:59,ROSN
262.45,270.65,271.85,260.9,1672640721.5,6244520,2015-11-03 00:00:00,2015-11-03 23:59:59,ROSN
270.0,270.0,275.75,268.05,1597361031.0,5870920,2015-11-05 00:00:00,2015-11-05 23:59:59,ROSN
269.4,264.75,270.7,264.0,879459797.0,3288050,2015-11-06 00:00:00,2015-11-06 23:59:59,ROSN
265.0,262.4,268.05,260.9,772546100.0,2918290,2015-11-09 00:00:00,2015-11-09 23:59:59,ROSN
262.4,257.55,262.4,256.3,934681350.0,3616760,2015-11-10 00:00:00,2015-11-10 23:59:59,ROSN
257.4,266.0,267.65,255.6,1376211554.0,5251130,2015-11-11 00:00:00,2015-11-11 23:59:59,ROSN
265.0,263.05,266.85,262.75,1143639919.0,4318160,2015-11-12 00:00:00,2015-11-12 23:59:59,ROSN
262.15,260.7,266.0,259.65,1224109356.0,4666380,2015-11-13 00:00:00,2015-11-13 23:59:59,ROSN
260.45,263.5,266.5,260.45,992119065.0,3754560,2015-11-16 00:00:00,2015-11-16 23:59:59,ROSN
266.5,271.5,274.85,264.75,1856043951.0,6846650,2015-11-17 00:00:00,2015-11-17 23:59:59,ROSN
272.6,278.2,279.5,269.45,1233655217.5,4472360,2015-11-18 00:00:00,2015-11-18 23:59:59,ROSN
279.35,271.5,282.1,270.3,1509090728.5,5452010,2015-11-19 00:00:00,2015-11-19 23:59:59,ROSN
271.5,272.9,273.0,264.35,1592251892.0,5924910,2015-11-20 00:00:00,2015-11-20 23:59:59,ROSN
269.35,274.8,279.25,268.0,1642841771.0,6006620,2015-11-23 00:00:00,2015-11-23 23:59:59,ROSN
274.8,265.75,275.95,265.3,1427956737.0,5304870,2015-11-24 00:00:00,2015-11-24 23:59:59,ROSN
267.0,271.55,274.4,266.15,1491052618.0,5512690,2015-11-25 00:00:00,2015-11-25 23:59:59,ROSN
272.3,270.85,274.9,269.2,1241096390.0,4553620,2015-11-26 00:00:00,2015-11-26 23:59:59,ROSN
269.55,268.2,270.85,266.0,1001639966.5,3736060,2015-11-27 00:00:00,2015-11-27 23:59:59,ROSN
