open,close,high,low,VALUE,volume,date,END,ticker
83.88,85.77,86.2,83.26,17405911488.5,205573820,2015-10-09 00:00:00,2015-10-09 23:59:59,SBER
85.8,85.45,86.6,83.86,12417854664.3,146007620,2015-10-12 00:00:00,2015-10-12 23:59:59,SBER
84.86,85.0,85.65,84.26,8465295962.3,99736900,2015-10-13 00:00:00,2015-10-13 23:59:59,SBER
84.48,86.81,87.1,84.02,9788569278.1,114246530,2015-10-14 00:00:00,2015-10-14 23:59:59,SBER
86.99,87.7,89.12,86.93,12293996742.4,139294580,2015-10-15 00:00:00,2015-10-15 23:59:59,SBER
88.57,88.52,90.07,88.3,12775243110.9,143386100,2015-10-16 00:00:00,2015-10-16 23:59:59,SBER
88.5,87.07,88.86,85.92,10285534549.7,118152120,2015-10-19 00:00:00,2015-10-19 23:59:59,SBER
86.96,88.14,89.34,86.14,9606479105.3,109382370,2015-10-20 00:00:00,2015-10-20 23:59:59,SBER
87.99,86.95,88.35,86.0,8597024871.0,99081310,2015-10-21 00:00:00,2015-10-21 23:59:59,SBER
86.63,86.53,87.6,86.03,7864275604.3,90618250,2015-10-22 00:00:00,2015-10-22 23:59:59,SBER
87.22,90.45,90.45,86.97,12248050433.6,137358890,2015-10-23 00:00:00,2015-10-23 23:59:59,SBER
90.89,92.3,92.7,89.72,14156296955.1,154684320,2015-10-26 00:00:00,2015-10-26 23:59:59,SBER
91.9,89.0,91.92,88.73,12404568510.7,137755700,2015-10-27 00:00:00,2015-10-27 23:59:59,SBER
89.0,90.05,90.49,87.33,11391289093.9,128577920,2015-10-28 00:00:00,2015-10-28 23:59:59,SBER
89.73,88.6,91.0,88.31,10264611464.2,114433270,2015-10-29 00:00:00,2015-10-29 23:59:59,SBER
88.75,90.53,90.8,88.12,7671652354.9,85414040,2015-10-30 00:00:00,2015-10-30 23:59:59,SBER
90.25,93.65,93.8,89.66,11533162305.0,125019670,2015-11-02 00:00:00,2015-11-02 23:59:59,SBER
93.89,95.4,95.59,93.32,11599161951.2,122438730,2015-11-03 00:00:00,2015-11-03 23:59:59,SBER
96.0,95.5,96.6,94.6,12206480529.7,127769250,2015-11-05 00:00:00,2015-11-05 23:59:59,SBER
95.5,94.09,95.91,93.57,10073225196.8,106579170,2015-11-06 00:00:00,2015-11-06 23:59:59,SBER
94.5,92.95,94.79,92.7,7402085478.9,79039400,2015-11-09 00:00:00,2015-11-09 23:59:59,SBER
92.78,94.35,94.42,92.02,6655777226.0,71523380,2015-11-10 00:00:00,2015-11-10 23:59:59,SBER
94.2,94.0,94.86,92.65,7269524919.6,77489920,2015-11-11 00:00:00,2015-11-11 23:59:59,SBER
93.4,94.29,94.77,92.69,7419518325.5,79197840,2015-11-12 00:00:00,2015-11-12 23:59:59,SBER
93.4,93.4,94.39,92.96,7405583101.2,79071320,2015-11-13 00:00:00,2015-11-13 23:59:59,SBER
93.01,95.8,96.14,93.01,8334568871.8,88111460,2015-11-16 00:00:00,2015-11-16 23:59:59,SBER
96.52,102.5,102.67,96.52,18037339094.4,181101510,2015-11-17 00:00:00,2015-11-17 23:59:59,SBER
102.78,104.0,104.59,101.74,14142767356.0,136661570,2015-11-18 00:00:00,2015-11-18 23:59:59,SBER
104.7,104.86,108.55,102.54,20252810885.6,191081370,2015-11-19 00:00:00,2015-11-19 23:59:59,SBER
104.35,107.3,107.3,103.19,11970586652.5,113710820,2015-11-20 00:00:00,2015-11-20 23:59:59,SBER
106.88,109.98,110.32,105.22,18771890126.7,173233750,2015-11-23 00:00:00,2015-11-23 23:59:59,SBER
109.81,105.6,110.7,105.15,16553006789.6,154170880,2015-11-24 00:00:00,2015-11-24 23:59:59,SBER
106.3,108.51,108.94,105.44,12803338864.7,119491800,2015-11-25 00:00:00,2015-11-25 23:59:59,SBER
108.77,106.48,109.3,105.6,8668625700.7,80653490,2015-11-26 00:00:00,2015-11-26 23:59:59,SBER
105.74,104.55,106.06,103.7,9777583229.9,93334840,2015-11-27 00:00:00,2015-11-27 23:59:59,SBER
103.9,102.9,105.9,102.75,9118566860.4,87247790,2015-11-30 00:00:00,2015-11-30 23:59:59,SBER
103.5,101.3,103.9,100.6,10092767266.0,98894750,2015-12-01 00:00:00,2015-12-01 23:59:59,SBER
