OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
325.0,333.0,335.9,324.35,724568641.5,2186340,2015-10-09 00:00:00,2015-10-09 23:59:59,TATN
335.0,325.0,335.75,320.75,738045875.0,2255360,2015-10-12 00:00:00,2015-10-12 23:59:59,TATN
324.5,332.65,332.65,321.1,491579100.5,1504720,2015-10-13 00:00:00,2015-10-13 23:59:59,TATN
330.0,328.5,332.05,324.25,522372513.0,1591970,2015-10-14 00:00:00,2015-10-14 23:59:59,TATN
328.5,329.1,333.7,328.25,517174312.0,1563810,2015-10-15 00:00:00,2015-10-15 23:59:59,TATN
331.7,328.0,333.85,328.0,482942554.5,1459890,2015-10-16 00:00:00,2015-10-16 23:59:59,TATN
328.2,331.25,332.85,325.7,394225590.0,1197730,2015-10-19 00:00:00,2015-10-19 23:59:59,TATN
330.65,332.6,332.6,326.85,437248327.5,1326720,2015-10-20 00:00:00,2015-10-20 23:59:59,TATN
332.0,327.0,332.9,322.4,572414082.0,1745350,2015-10-21 00:00:00,2015-10-21 23:59:59,TATN
327.0,328.35,330.2,323.1,318586773.5,975860,2015-10-22 00:00:00,2015-10-22 23:59:59,TATN
329.95,333.8,337.0,329.5,596701154.5,1793900,2015-10-23 00:00:00,2015-10-23 23:59:59,TATN
334.5,333.5,334.5,327.3,505321682.0,1526270,2015-10-26 00:00:00,2015-10-26 23:59:59,TATN
332.7,345.0,345.0,328.05,780851129.5,2320900,2015-10-27 00:00:00,2015-10-27 23:59:59,TATN
343.25,342.4,344.55,339.5,508833557.0,1489180,2015-10-28 00:00:00,2015-10-28 23:59:59,TATN
340.5,334.95,343.6,333.1,423476314.0,1259770,2015-10-29 00:00:00,2015-10-29 23:59:59,TATN
334.0,328.8,337.85,328.05,475944026.5,1432670,2015-10-30 00:00:00,2015-10-30 23:59:59,TATN
328.75,336.2,336.2,327.0,302053308.5,909910,2015-11-02 00:00:00,2015-11-02 23:59:59,TATN
335.15,344.2,345.8,334.0,502149959.0,1470230,2015-11-03 00:00:00,2015-11-03 23:59:59,TATN
344.2,346.0,348.45,340.1,511054037.0,1483800,2015-11-05 00:00:00,2015-11-05 23:59:59,TATN
346.35,348.0,350.4,344.6,466278499.0,1340450,2015-11-06 00:00:00,2015-11-06 23:59:59,TATN
348.95,346.4,350.1,342.5,283684231.0,818390,2015-11-09 00:00:00,2015-11-09 23:59:59,TATN
348.45,346.95,350.0,342.4,535134951.5,1545000,2015-11-10 00:00:00,2015-11-10 23:59:59,TATN
345.1,345.0,349.75,341.25,341226834.0,987600,2015-11-11 00:00:00,2015-11-11 23:59:59,TATN
344.35,340.1,345.95,338.9,499178996.0,1459640,2015-11-12 00:00:00,2015-11-12 23:59:59,TATN
336.1,335.5,341.35,334.5,521727852.0,1541250,2015-11-13 00:00:00,2015-11-13 23:59:59,TATN
334.75,336.25,340.8,334.25,402047814.0,1190090,2015-11-16 00:00:00,2015-11-16 23:59:59,TATN
338.1,340.2,346.2,337.7,738597718.0,2164100,2015-11-17 00:00:00,2015-11-17 23:59:59,TATN
342.0,342.4,346.15,338.7,432484558.5,1260710,2015-11-18 00:00:00,2015-11-18 23:59:59,TATN
344.2,349.1,352.35,338.95,675005221.5,1946570,2015-11-19 00:00:00,2015-11-19 23:59:59,TATN
347.8,349.85,352.0,344.5,422808132.0,1215230,2015-11-20 00:00:00,2015-11-20 23:59:59,TATN
349.05,354.45,355.45,347.05,367926948.0,1045570,2015-11-23 00:00:00,2015-11-23 23:59:59,TATN
354.75,345.0,354.75,339.35,618818464.0,1792870,2015-11-24 00:00:00,2015-11-24 23:59:59,TATN
345.55,345.9,351.0,343.35,401910073.5,1158390,2015-11-25 00:00:00,2015-11-25 23:59:59,TATN
345.9,344.3,348.45,342.05,349913405.0,1012140,2015-11-26 00:00:00,2015-11-26 23:59:59,TATN
344.0,336.9,344.0,333.3,614596673.0,1821910,2015-11-27 00:00:00,2015-11-27 23:59:59,TATN
336.9,314.05,338.9,314.05,1329125068.0,4082240,2015-11-30 00:00:00,2015-11-30 23:59:59,TATN
317.0,323.0,324.5,316.5,893578990.5,2782630,2015-12-01 00:00:00,2015-12-01 23:59:59,TATN
324.2,321.5,325.0,317.5,653933705.0,2035980,2015-12-02 00:00:00,2015-12-02 23:59:59,TATN
321.0,316.9,321.45,315.6,432575664.0,1358920,2015-12-03 00:00:00,2015-12-03 23:59:59,TATN
317.7,312.0,318.95,305.2,926172195.5,2975010,2015-12-04 00:00:00,2015-12-04 23:59:59,TATN
312.85,308.8,314.95,307.2,610565909.0,1964330,2015-12-07 00:00:00,2015-12-07 23:59:59,TATN
307.35,304.9,312.0,304.05,594452041.0,1937450,2015-12-08 00:00:00,2015-12-08 23:59:59,TATN
305.6,311.6,317.0,305.3,632609888.5,2019370,2015-12-09 00:00:00,2015-12-09 23:59:59,TATN
311.75,314.2,316.4,311.05,602068200.0,1914870,2015-12-10 00:00:00,2015-12-10 23:59:59,TATN
314.0,310.0,314.0,307.1,388993686.5,1247650,2015-12-11 00:00:00,2015-12-11 23:59:59,TATN
307.9,303.8,310.6,302.6,501285274.0,1639400,2015-12-14 00:00:00,2015-12-14 23:59:59,TATN
306.4,316.6,317.0,305.05,945252953.5,3020810,2015-12-15 00:00:00,2015-12-15 23:59:59,TATN
317.0,313.4,322.7,313.05,747181503.5,2355000,2015-12-16 00:00:00,2015-12-16 23:59:59,TATN
315.0,318.0,318.65,307.35,811029673.5,2587030,2015-12-17 00:00:00,2015-12-17 23:59:59,TATN
316.5,303.0,316.9,302.1,863504689.5,2824110,2015-12-18 00:00:00,2015-12-18 23:59:59,TATN
303.65,306.0,309.35,302.3,552433053.0,1805890,2015-12-21 00:00:00,2015-12-21 23:59:59,TATN
306.0,306.9,308.6,304.2,426913110.5,1388950,2015-12-22 00:00:00,2015-12-22 23:59:59,TATN
306.6,308.7,309.7,306.6,449306301.0,1455700,2015-12-23 00:00:00,2015-12-23 23:59:59,TATN
310.0,313.55,316.95,308.05,479325971.5,1531520,2015-12-24 00:00:00,2015-12-24 23:59:59,TATN
315.2,311.9,316.2,310.55,88545250.5,282460,2015-12-25 00:00:00,2015-12-25 23:59:59,TATN
