OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
742.0,763.0,769.0,736.0,57998728.0,76620,2015-10-09 00:00:00,2015-10-09 23:59:59,YNDX
764.0,743.0,767.0,732.0,47417976.0,63319,2015-10-12 00:00:00,2015-10-12 23:59:59,YNDX
744.0,814.0,821.0,744.0,188361525.0,239794,2015-10-13 00:00:00,2015-10-13 23:59:59,YNDX
804.0,818.0,823.0,787.0,121723990.0,151268,2015-10-14 00:00:00,2015-10-14 23:59:59,YNDX
828.0,821.0,862.0,821.0,180262932.0,214592,2015-10-15 00:00:00,2015-10-15 23:59:59,YNDX
828.0,813.0,844.0,813.0,64645239.0,78331,2015-10-16 00:00:00,2015-10-16 23:59:59,YNDX
811.0,845.0,857.0,811.0,71605000.0,85526,2015-10-19 00:00:00,2015-10-19 23:59:59,YNDX
842.0,834.0,854.0,830.0,44591840.0,52935,2015-10-20 00:00:00,2015-10-20 23:59:59,YNDX
831.0,822.0,836.0,801.0,51117201.0,62432,2015-10-21 00:00:00,2015-10-21 23:59:59,YNDX
820.0,836.0,840.0,813.0,40881769.0,49449,2015-10-22 00:00:00,2015-10-22 23:59:59,YNDX
822.0,813.0,823.0,798.0,98893019.0,122032,2015-10-23 00:00:00,2015-10-23 23:59:59,YNDX
815.0,838.0,854.0,808.0,76079338.0,91353,2015-10-26 00:00:00,2015-10-26 23:59:59,YNDX
862.0,940.0,965.0,851.0,563768882.0,624018,2015-10-27 00:00:00,2015-10-27 23:59:59,YNDX
960.0,1002.0,1009.0,932.0,314030835.0,321318,2015-10-28 00:00:00,2015-10-28 23:59:59,YNDX
996.0,1009.0,1020.0,971.0,123549072.0,123641,2015-10-29 00:00:00,2015-10-29 23:59:59,YNDX
995.0,1016.0,1022.0,989.0,59548249.0,59156,2015-10-30 00:00:00,2015-10-30 23:59:59,YNDX
1018.0,1030.0,1036.8,1003.1,85131114.6,83386,2015-11-02 00:00:00,2015-11-02 23:59:59,YNDX
1030.3,1011.0,1039.9,1011.0,78988412.5,76620,2015-11-03 00:00:00,2015-11-03 23:59:59,YNDX
1002.2,980.0,1011.7,980.0,66430485.4,66631,2015-11-05 00:00:00,2015-11-05 23:59:59,YNDX
982.1,994.9,1005.0,967.0,54676716.1,55334,2015-11-06 00:00:00,2015-11-06 23:59:59,YNDX
